Naam,Bedrijfsnummer,BTW-nummer,E-mail,E-mail geverifieerd,Telefoonnummer,Telefoon geverifieerd,Website,Website domain,Beschrijving,Activiteiten,NACE-codes,Provincie,Adres,Geschat aantal werknemers,Geschatte omzet,Bizzy URL
"Van Kerckhoven, Jan",0533.816.437,BE0533.816.437,info@vankerckhovenprefab.nl,Geverifieerd,+31 114 681 920,Geverifieerd,www.vankerckhovengroep.nl,vankerckhovengroep,"Van Kerckhoven Jan is een bouwbedrijf dat gespecialiseerd is in prefab oplossingen voor residentiële en commerciële projecten. Met meer dan een eeuw ervaring bieden zij een breed scala aan diensten aan, waaronder renovatie, installatie en de levering van prefab dak- en gevelelementen.",Groothandel in bouwproducten - Vervaardiging van bouwproducten - Woningbouw,01500,Antwerpen,"Donkenstraat 2, 2235 Hulshout",1 - 10,€0 - €1M,app.bizzy.org/BE/0533816.437?utm_source=export&utm_medium=lists_xlsx
"Naessens, Veerle",0521.527.725,BE0521.527.725,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be,willynaessens,"NATUURHUIS 'T BIOTIEKJE is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Detailhandel in voedingsmiddelen,47112,West-Vlaanderen,"Baron van der Bruggenlaan 23, 8710 Wielsbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0521527.725?utm_source=export&utm_medium=lists_xlsx
NEY AND PARTNERS - ARCHITECTURE,0478.857.722,BE0478.857.722,bridges@ney.partners,Geverifieerd,+32 476 38 57 87,Geverifieerd,www.ney.partners,ney,"NEY AND PARTNERS - ARCHITECTURE is gespecialiseerd in het ontwerp en de bouw van bruggen, infrastructuur, gebouwen en speciale constructies, waaronder houten en glazen ontwerpen.",Architectuur - Bouwarchitecten - Stadsarchitecten,71111 - 71121,Brussel,"Terhulpsesteenweg 181, 1170 Watermaal-Bosvoorde",1 - 10,€0 - €1M,app.bizzy.org/BE/0478857.722?utm_source=export&utm_medium=lists_xlsx
STABILOGICS,0476.779.150,BE0476.779.150,info@stabilogics.be,Geverifieerd,+32 16 60 99 92,Geverifieerd,www.stabilogics.be,stabilogics,"STABILOGICS is gespecialiseerd in het uitvoeren van stabiliteitsstudies voor verschillende materialen en structuren, waarbij innovatieve technologieën en methodologieën worden gebruikt om efficiënte en economische ontwerpen te waarborgen. Met meer dan 20 jaar ervaring richt STABILOGICS zich op het creëren van duurzame en stabiele omgevingen.",Engineering,71121 - 71121,Vlaams-Brabant,"Stationsstraat 162, 3150 Haacht",1 - 10,€2M - €5M,app.bizzy.org/BE/0476779.150?utm_source=export&utm_medium=lists_xlsx
TELCO,0473.623.977,BE0473.623.977,info@arch-teco.com,Geverifieerd,+32 9 296 00 69,Geverifieerd,www.arch-teco.com/,arch-teco,"TELCO is een multidisciplinair bedrijf dat gespecialiseerd is in architectuur, planning, engineering en asset management, en biedt creatieve, technische en managementexpertise.",Architectuur - Bouwarchitecten - Stadsarchitecten,46900 - 68100 - 68203 - 73200 - 77299 - 82190,Oost-Vlaanderen,"Coupure 55, 9000 Gent",1 - 10,€2M - €5M,app.bizzy.org/BE/0473623.977?utm_source=export&utm_medium=lists_xlsx
ARCH & TECO ASSET MANAGEMENT,0473.623.284,BE0473.623.284,info@arch-teco.com,Geverifieerd,+32 9 296 00 69,Geverifieerd,www.arch-teco.com/,arch-teco,"Arch & Teco - Netwerken is een multidisciplinair bedrijf dat gespecialiseerd is in architectuur, planning, engineering en asset management, en biedt creatieve, technische en managementexpertise.",Architectuur - Bouwarchitecten - Stadsarchitecten,71111 - 71121 - 71121 - 71122,Oost-Vlaanderen,"Coupure 55, 9000 Gent",20 - 50,€2M - €5M,app.bizzy.org/BE/0473623.284?utm_source=export&utm_medium=lists_xlsx
MONITOR,0466.777.559,BE0466.777.559,daan@monitor.be,Geverifieerd,+32 9 274 06 51,Geverifieerd,www.monitor.be,monitor,"Monitor HR Consulting is een bedrijf dat gespecialiseerd is in werving en selectie, talentmanagement en HR-projecten. Ze bieden een scala aan vacatures en verlenen diensten aan verschillende sectoren zoals verkoop, techniek, financiën, IT-oplossingen en meer.",Arbeidsbemiddeling - Human resources,78100 - 78100 - 78200,Antwerpen,"Stokerijstraat 25/ D01, 2110 Wijnegem",10 - 20,€2M - €5M,app.bizzy.org/BE/0466777.559?utm_source=export&utm_medium=lists_xlsx
ELEKTRO KAMIEL SMET,0459.374.479,BE0459.374.479,info@eeg.be,Geverifieerd,+32 81 21 27 02,Geverifieerd,www.eeg.be,eeg,"ELEKTRO KAMIEL SMET NV is een bedrijf dat gespecialiseerd is in HVAC-uitvoering, met de focus op duurzaam comfort in gebouwen door de integratie van technieken.",Elektrische installatiewerkzaamheden,43211 - 43211 - 46431 - 95210,Oost-Vlaanderen,"Eekhoornstraat 3, 9100 Sint-Niklaas",20 - 50,€5M - €10M,app.bizzy.org/BE/0459374.479?utm_source=export&utm_medium=lists_xlsx
BRONTEC,0458.998.852,BE0458.998.852,officeinfo@decat.be,Geverifieerd,+32 51 55 50 01,Geverifieerd,www.decat.be,decat,"DECAT is een erkend installatiebedrijf met een omzet van 40 miljoen euro, dat innovatieve oplossingen biedt op het gebied van energie, automatisering, leidingwerk en ondersteuning & onderhoud. Ze zijn gespecialiseerd in het leveren van multidisciplinaire en duurzame totaaloplossingen voor verschillende marktsectoren, waaronder gezondheidszorg, industrie, appartementsbouw, recreatie, onderwijs en werkruimte.",Elektrische installatiewerkzaamheden - Installatie van verwarming,43211 - 43221 - 43222,Oost-Vlaanderen,"Léon Bekaertlaan 32B, 9880 Aalter",1 - 10,€0 - €1M,app.bizzy.org/BE/0458998.852?utm_source=export&utm_medium=lists_xlsx
VERELST,0454.323.353,BE0454.323.353,info@verelst.be,Geverifieerd,+32 16 56 70 03,Geverifieerd,www.verelst.be,verelst,"VERELST biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,10712 - 56102,Antwerpen,"Fruithoflaan 2, 2600 Berchem",1 - 10,€0 - €1M,app.bizzy.org/BE/0454323.353?utm_source=export&utm_medium=lists_xlsx
ALUGLAS,0447.849.295,BE0447.849.295,info@houbennv.be,Geverifieerd,+32 11 26 96 00,Geverifieerd,www.houbennv.be,houbennv,"ALUGLAS is een vooruitstrevend bouwbedrijf dat zich richt op samenwerking en bouwen voor de toekomst. Ze bieden een complete service, delen hun kennis en leveren duurzame projecten met een langetermijnvisie.",Bouw - Woningbouw,41201 - 43320,Limburg,"Prins-Bisschopssingel 36/ 5, 3500 Hasselt",10 - 20,€5M - €10M,app.bizzy.org/BE/0447849.295?utm_source=export&utm_medium=lists_xlsx
Associatie van Interieurarchitecten van België - Association des Architectes d'Intérieur de Belgique,0443.257.930,BE0443.257.930,elke.stegen@ainb.be,Geverifieerd,+32 55 20 66 60,Geverifieerd,www.ainb.be,ainb,"Association of interior architects Belgium - ainb is een organisatie die kennis, training en netwerkmogelijkheden biedt voor interieurarchitecten in België. Ze bevorderen ook innovatie en bieden bronnen over duurzame materialen en design.",Interieurarchitecten - Verenigingen,71111 - 94120,Brussel,"Quai de Willebroeck 37, 1000 Brussel",1 - 10,€0 - €1M,app.bizzy.org/BE/0443257.930?utm_source=export&utm_medium=lists_xlsx
BOUD,0441.637.733,BE0441.637.733,info@bouwenmetboud.be,Geverifieerd,+32 3 886 53 42,Geverifieerd,www.bouwenmetboud.be,bouwenmetboud,BOUD is een bouwbedrijf dat gespecialiseerd is in het voltooien van bouwprojecten en totale renovaties met oog voor detail. Met een veelzijdig team en een totaalaanpak zorgen zij voor duidelijke communicatie en coördinatie tussen alle betrokken partijen.,Bouw - Woningbouw,41201 - 41201,Antwerpen,"Beekstraat 112, 2830 Willebroek",10 - 20,€2M - €5M,app.bizzy.org/BE/0441637.733?utm_source=export&utm_medium=lists_xlsx
CENTRE LIEGEOIS D'ENSEIGNEMENT ET DE FORMATION,0438.404.267,BE0438.404.267,info@helmo.be,Geverifieerd,+32 87 66 07 55,Geverifieerd,www.helmo.be,helmo,"CENTRE LIEGOISE D'ENSEIGNEMENT ET DE FORMATION biedt een breed scala aan onderwijsprogramma's, waaronder bachelor-, master- en specialisatieopleidingen, evenals cursussen voor bijscholing. Ze streven ernaar om authentieke en assertieve communicatie te bieden, effectieve vergaderingen te faciliteren en het welzijn in instellingen te bevorderen.",Verenigingen,85592,Liège,"Quai du Condroz 28, 4031 Angleur",1 - 10,€0 - €1M,app.bizzy.org/BE/0438404.267?utm_source=export&utm_medium=lists_xlsx
BOUYGUES BELGIUM,0435.567.117,BE0435.567.117,info@bouyguesbelgium.be,Geverifieerd,+32 471 60 72 49,Geverifieerd,www.bouygues-construction.com/,bouygues-construction,"Bouygues Construction is een leider in duurzame bouw, die projecten ontwerpt, bouwt en beheert die het dagelijks leven in verschillende sectoren, waaronder huisvesting, gezondheid en onderwijs, verbeteren. Het bedrijf legt de nadruk op milieurepect en streeft ernaar betekenisvolle verbindingen en kansen te creëren door middel van zijn werk.",Bouw - Bouw van kantoorgebouwen - Woningbouw,41201 - 41202,Brussel,"Kortenberglaan 52, 1000 Brussel",1 - 10,€0 - €1M,app.bizzy.org/BE/0435567.117?utm_source=export&utm_medium=lists_xlsx
TECHNICAL AND ENVIRONMENTAL ENGINEERING,0434.808.141,BE0434.808.141,info@arch-teco.com,Geverifieerd,+32 9 296 00 69,Geverifieerd,www.arch-teco.com,arch-teco,"T.E.E. is een multidisciplinair bedrijf dat gespecialiseerd is in architectuur, planning, engineering en asset management, en biedt creatieve, technische en managementexpertise.",Architectuur - Bouwarchitecten - Stadsarchitecten,71121 - 71121,Oost-Vlaanderen,"Coupure 55, 9000 Gent",10 - 20,€2M - €5M,app.bizzy.org/BE/0434808.141?utm_source=export&utm_medium=lists_xlsx
INITIATIVES POUR UNE FORMATION EFFICACE,0433.491.614,BE0433.491.614,info@helmo.be,Geverifieerd,+32 87 66 07 55,Geverifieerd,www.helmo.be,helmo,"Inforef biedt een breed scala aan onderwijsprogramma's, waaronder bachelor-, master- en specialisatieopleidingen, evenals cursussen voor bijscholing. Ze streven ernaar om authentieke en assertieve communicatie te bieden, effectieve vergaderingen te faciliteren en het welzijn in instellingen te bevorderen.",Verenigingen,85592,Liège,"Mont Saint-Martin 45, 4000 Liège",10 - 20,€1M - €2M,app.bizzy.org/BE/0433491.614?utm_source=export&utm_medium=lists_xlsx
DESIRE STADSBADER,0432.759.065,BE0432.759.065,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com/en,stadsbader,"DESIRE STADSBADER NV is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Groothandel in bouwproducten,46731 - 49410 - 52290,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",10 - 20,€5M - €10M,app.bizzy.org/BE/0432759.065?utm_source=export&utm_medium=lists_xlsx
BETONBOUW VERELST,0428.310.626,BE0428.310.626,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"Verelst biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Bouw - Vervaardiging van bouwproducten - Woningbouw,23610 - 25110 - 41201 - 64910,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€2M - €5M,app.bizzy.org/BE/0428310.626?utm_source=export&utm_medium=lists_xlsx
10 Upkot,0423.791.614,BE0423.791.614,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"BACK 2 STAY is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0423791.614?utm_source=export&utm_medium=lists_xlsx
Timi UpKot,0420.018.215,BE0420.018.215,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upkot.be,upkot,"Timi UpKot is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€1M - €2M,app.bizzy.org/BE/0420018.215?utm_source=export&utm_medium=lists_xlsx
Socom,0419.695.739,BE0419.695.739,socom@socom.lu,Geverifieerd,+352 55 14 15 1,Geverifieerd,www.socom.lu,socom,"Socom is een toonaangevende integrator van technologische oplossingen, gespecialiseerd in elektrotechniek, werktuigbouwkunde en industriële leidingbouw. Met meer dan 50 jaar ervaring ontwerpen, installeren en onderhouden zij systemen in de industrie, infrastructuur en tertiaire sector wereldwijd.",Telecommunicatie,43211,,"Rue du Commerce 10, 3895 Foetz",1 - 10,€0 - €1M,app.bizzy.org/BE/0419695.739?utm_source=export&utm_medium=lists_xlsx
"Institut Gramme Liège, Institut supérieur industriel",0411.649.489,BE0411.649.489,info@helmo.be,Geverifieerd,+32 87 66 07 55,Geverifieerd,www.helmo.be,helmo,"Institut Gramme Liège, Institut supérieur industriel biedt een breed scala aan onderwijsprogramma's, waaronder bachelor-, master- en specialisatieopleidingen, evenals cursussen voor bijscholing. Ze streven ernaar om authentieke en assertieve communicatie te bieden, effectieve vergaderingen te faciliteren en het welzijn in instellingen te bevorderen.",Verenigingen,,Liège,"Quai du Condroz 28, 4031 Angleur",1 - 10,€0 - €1M,app.bizzy.org/BE/0411649.489?utm_source=export&utm_medium=lists_xlsx
WEST CONSTRUCT,0407.015.760,BE0407.015.760,adrien.theunissen@besix.com,Geverifieerd,+32 473 30 92 88,Geverifieerd,www.besix.com,besix,"BESIX is een gediversifieerde groep die volledige bouwoplossingen biedt, waaronder aanneming, concessies & activa en vastgoed. Met meer dan 100 jaar ervaring blinken ze uit in het creëren van duurzame oplossingen voor een betere wereld.",,,West-Vlaanderen,"Koningin Astridlaan 128, 8200 Sint-Andries",1 - 10,€0 - €1M,app.bizzy.org/BE/0407015.760?utm_source=export&utm_medium=lists_xlsx
WESTATE,0405.980.434,BE0405.980.434,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"WESTATE is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0405980.434?utm_source=export&utm_medium=lists_xlsx
UPGRADE ESTATE GROUP,0400.927.922,BE0400.927.922,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"UPGRADE ESTATE GROUP is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",Vastgoed,68100 - 68311 - 68311,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",20 - 50,€5M - €10M,app.bizzy.org/BE/0400927.922?utm_source=export&utm_medium=lists_xlsx
OUD HUIS FLORENT HOFMANS EN ZONEN,0400.301.776,BE0400.301.776,info@valornv.be,Geverifieerd,+32 52 41 00 21,Geverifieerd,www.valornv.be,valornv,"OUD HUIS FLORENT HOFMANS EN ZONEN is een bouwbedrijf dat gespecialiseerd is in duurzame en energiezuinige projecten. Ze richten zich op stedelijke verdichting en integreren bomen en planten op hun projectlocaties, waardoor levendige groene ruimtes ontstaan in dichtbebouwde omgevingen.",Vervaardiging van leer,15110,Antwerpen,"Beekstraat 112, 2830 Willebroek",1 - 10,€0 - €1M,app.bizzy.org/BE/0400301.776?utm_source=export&utm_medium=lists_xlsx
Interselektie BV,0719.368.925,BE0719.368.925,info@interselektie.nl,Geverifieerd,+31 75 621 8845,Geverifieerd,www.interselektie.nl,interselektie,"Interselektie BV is een technisch uitzendbureau dat sinds 1986 werving, selectie, salarisadministratie en detachering aanbiedt voor technici in Nederland. Ze zijn gespecialiseerd in verschillende vakgebieden zoals elektrotechniek, werktuigbouwkunde, scheepsbouw en meer.",,,Zaanstad,"Provincialeweg 21/ A, 1561KL Krommenie",1 - 10,€0 - €1M,app.bizzy.org/BE/0719368.925?utm_source=export&utm_medium=lists_xlsx
FORMI,0466.370.852,BE0466.370.852,contact@formi.com,Geverifieerd,+33 5 61 71 79 71,Geverifieerd,www.formi.com,formi,"FORMI is gespecialiseerd in document- en financieel beheeroplossingen voor de bouwsector en biedt tools voor projecttracking, samenwerking en BIM-integratie. Hun platform, eProject, verbetert de efficiëntie en transparantie in het beheer van bouwprojecten.",,,Henegouwen,"Rue du Cimetière 1, 6596 Forge-Philippe",1 - 10,€0 - €1M,app.bizzy.org/BE/0466370.852?utm_source=export&utm_medium=lists_xlsx
Haute École Louvain en Hainaut,0818.523.810,BE0818.523.810,agro.montignies@helha.be,Geverifieerd,+32 71 15 98 00,Geverifieerd,,,,Verenigingen,85422 - 85422,Henegouwen,"Chaussée de Binche 159, 7000 Mons",200 - 500,€2M - €5M,app.bizzy.org/BE/0818523.810?utm_source=export&utm_medium=lists_xlsx
CML Construction Services,0720.852.233,BE0720.852.233,belgium@strabag.com,Geverifieerd,+32 3 540 47 12,Geverifieerd,www.strabag.be,strabag,"CML Construction Services is een toonaangevend Belgisch bouwbedrijf dat gespecialiseerd is in industriële bouw, utiliteitsbouw, civiele techniek, renovatie- en restauratiewerkzaamheden, woningbouw en milieuprojecten.",Engineering,71121 - 71121,Antwerpen,"Noorderlaan 139, 2030 Antwerpen",1 - 10,€1M - €2M,app.bizzy.org/BE/0720852.233?utm_source=export&utm_medium=lists_xlsx
ART UPKOT,0891.055.460,BE0891.055.460,info@upgrade-estate.be,Geverifieerd,+32 9 395 98 98,Geverifieerd,,,,Vastgoedontwikkeling,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0891055.460?utm_source=export&utm_medium=lists_xlsx
"Centre de Recherche,d'Etude et de Formation Continue de la HELHA",0851.178.859,BE0851.178.859,service.informatique@helha.be,Geverifieerd,+32 71 43 82 11,Geverifieerd,,,,Verenigingen,72190 - 72190,Henegouwen,"Chaussée de Binche 159, 7000 Mons",10 - 20,€2M - €5M,app.bizzy.org/BE/0851178.859?utm_source=export&utm_medium=lists_xlsx
GANDA UPKOT,0849.471.263,BE0849.471.263,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,,,,Vastgoedontwikkeling,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€1M - €2M,app.bizzy.org/BE/0849471.263?utm_source=export&utm_medium=lists_xlsx
B+ ARCHITECTEN,0836.408.234,BE0836.408.234,info@rubenbraeken.be,Geverifieerd,+32 89 25 22 33,Geverifieerd,,,,Architectuur - Bouwarchitecten - Interieurarchitecten - Stadsarchitecten,71111 - 71111,Limburg,"Zagerijstraat 39/ 1, 3600 Genk",1 - 10,€0 - €1M,app.bizzy.org/BE/0836408.234?utm_source=export&utm_medium=lists_xlsx
Architecten Groep III cvba - Trant architecten BV,0748.876.523,BE0748.876.523,info@groep3.be,Geverifieerd,+32 50 67 33 96,Geverifieerd,,,,Architectuur - Bouw van kantoorgebouwen - Bouwarchitecten - Industrieel ontwerp - Interieurarchitecten - Interieurontwerp - Stadsarchitecten - Woningbouw,71111,West-Vlaanderen,"Krakeleweg 39, 8000 Brugge",1 - 10,€0 - €1M,app.bizzy.org/BE/0748876.523?utm_source=export&utm_medium=lists_xlsx
Kaper YZ Upkot,0729.978.250,BE0729.978.250,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,,,,,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€2M - €5M,app.bizzy.org/BE/0729978.250?utm_source=export&utm_medium=lists_xlsx
Buzz Upkot,0729.978.151,BE0729.978.151,info@upgrade-estate.be,Geverifieerd,+32 9 395 98 98,Geverifieerd,,,"Buzz Upkot is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0729978.151?utm_source=export&utm_medium=lists_xlsx
FE PROJECTS,0729.571.840,BE0729.571.840,info@sa-danneels.be,Geverifieerd,+32 81 21 27 02,Geverifieerd,,,,Engineering,41101 - 41102 - 68100 - 68311,West-Vlaanderen,"Bedrijvenlaan 7, 8630 Veurne",1 - 10,€0 - €1M,app.bizzy.org/BE/0729571.840?utm_source=export&utm_medium=lists_xlsx
Whey Upkot,0683.929.578,BE0683.929.578,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,,,,Vastgoedontwikkeling,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0683929.578?utm_source=export&utm_medium=lists_xlsx
Campus Upkot,0680.956.727,BE0680.956.727,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,,,"Campus Upkot creëert en beheert woningen voor studenten, jonge professionals en groeiende bedrijven met een sterke focus op het verbinden van mensen. Hun merken Upkot, Upliving en Upoffiz bieden unieke woonervaringen en een breed scala aan diensten voor zowel investeerders als huurders.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€1M - €2M,app.bizzy.org/BE/0680956.727?utm_source=export&utm_medium=lists_xlsx
DC & PARTNERS,0634.752.360,BE0634.752.360,officeinfo@decat.be,Geverifieerd,+32 51 55 50 01,Geverifieerd,,,"DC & PARTNERS is een erkend installatiebedrijf met een omzet van 40 miljoen euro, dat innovatieve oplossingen biedt op het gebied van energie, automatisering, leidingwerk en ondersteuning & onderhoud. Ze zijn gespecialiseerd in het leveren van multidisciplinaire en duurzame totaaloplossingen voor verschillende marktsectoren, waaronder gezondheidszorg, industrie, appartementsbouw, recreatie, onderwijs en werkruimte.",Financiële diensten,64200 - 66199 - 70220,West-Vlaanderen,"Klokhofstraat 43, 8660 De Panne",1 - 10,€1M - €2M,app.bizzy.org/BE/0634752.360?utm_source=export&utm_medium=lists_xlsx
Kaper X Upkot,0630.930.659,BE0630.930.659,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,,,"Kaper X Upkot is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0630930.659?utm_source=export&utm_medium=lists_xlsx
B SOLUTIONS INGENIEURS,0464.952.573,BE0464.952.573,info@bsolutions.be,Geverifieerd,+32 81 56 01 70,Geverifieerd,,,"BSOLUTIONS, BUREAU D'ETUDES DES CONSTRUCTIONS is een multidisciplinair ingenieurs- en industrieel architectenbureau dat alle benodigde vaardigheden samenbrengt om succesvolle bouwprojecten uit te voeren, waarbij een allesomvattende aanpak wordt geboden van projectontwikkeling tot voltooiing. Ze zijn gespecialiseerd in architectuur, stabiliteit, technische studies, projectmanagement, gezondheid en veiligheid, infrastructuur, duurzame ontwikkeling en maken gebruik van Building Information Modeling (BIM) voor een betere kwaliteit en operationele efficiëntie.",Bouwarchitecten - Engineering,71121 - 73200,Namen,"Rue Louis Genonceaux,Isnes 12, 5032 Bossière",20 - 50,€5M - €10M,app.bizzy.org/BE/0464952.573?utm_source=export&utm_medium=lists_xlsx
Upliving Ghent - Queen,0435.784.277,BE0435.784.277,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,,,"Upliving Ghent - Queen creëert en beheert woningen voor studenten, jonge professionals en groeiende bedrijven met een sterke focus op het verbinden van mensen. Hun merken Upkot, Upliving en Upoffiz bieden unieke woonervaringen en een breed scala aan diensten voor zowel investeerders als huurders.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0435784.277?utm_source=export&utm_medium=lists_xlsx
LEROY,0425.659.061,BE0425.659.061,info@sa-danneels.be,Geverifieerd,+32 81 21 27 02,Geverifieerd,,,,Installatie van ventilatie,43222 - 43222,West-Vlaanderen,"Oostkaai 54, 8900 Ieper",20 - 50,€5M - €10M,app.bizzy.org/BE/0425659.061?utm_source=export&utm_medium=lists_xlsx
Centre de Recherches des Instituts Groupés de la Haute Ecole Libre Mosane,0419.597.749,BE0419.597.749,info@le37.be,Geverifieerd,+32 87 66 07 55,Geverifieerd,,,"CRIG biedt een breed scala aan onderwijsprogramma's, waaronder bachelor-, master- en specialisatieopleidingen, evenals cursussen voor bijscholing. Ze streven ernaar om authentieke en assertieve communicatie te bieden, effectieve vergaderingen te faciliteren en het welzijn in instellingen te bevorderen.",Verenigingen,71121 - 72190,Liège,"Mont Saint-Martin 41, 4000 Liège",10 - 20,€2M - €5M,app.bizzy.org/BE/0419597.749?utm_source=export&utm_medium=lists_xlsx
BRUSSELS AIRPORT COMPANY,0890.082.292,BE0890.082.292,,,+32 2 753 42 00,Geverifieerd,www.brusselsairport.be,brusselsairport,"Brussels Airport Company NV/SA is een van de grootste luchthavens van Europa en verbindt de Europese hoofdstad met 236 bestemmingen wereldwijd. Met een sterke economische aanwezigheid en meer dan 1000 werknemers speelt het een essentiële rol in de luchtvaartindustrie, waarbij jaarlijks miljoenen passagiers en tonnen vracht worden afgehandeld.",Luchthaven - Luchtverkeersleiding - Luchtvracht,52230 - 52230 - 64200 - 82990,Brussel,"Boulevard Auguste Reyers 80, 1030 Schaerbeek",1K - 2K,>€500M,app.bizzy.org/BE/0890082.292?utm_source=export&utm_medium=lists_xlsx
